comment,paslon
aku yes pak jendral andikaaku cuma bisa mendoakan semoga terpilihkarena saya ga bisa mencobloslg merantodi sulut,andika_hendi
kalem vs ambisi  jateng perkasa,andika_hendi
ya bagi siapa saja yang jadi saya mohon desa kami diperhatikan secara menyeluruh soalnya kami butuh jalan raya desanya yaitu desa torsino sebelah timur disitu ada tanggul dan sungae tolong itu diperhatikan kami warga setempat sangat berharap agar tanggul tersebut dijadikan jalan raya pintas sampae kecamatan kutoarjo soalnya tanggul itu sudah pada longsor dan sejak taun 98 sampae sekarang belum ada perbaikan tanggul dan gebanyaka dananya dimakan para bejabat,unknown
ganjar kok gak nyalon lagi biar seru debat nya,unknown
semoga pilkada jawa tengah lancaraamiin,unknown
mantap,unknown
tni lebih bisa di percaya,andika_hendi
pak warga timbul sloko pemukiman yg hampir tenggelam di demak pt semen indonesia yg ilegal di tanah warga kendeng nasib nelayan dekat pltu batang dll kalo udah menang mereka masih menangis gak didengar bulshit apa yg disampein,luthfi_taj
serius kesehatan gratis,unknown
andika,andika_hendi
banyak buzerr ini,unknown
kelasnya andika  adalah calon presiden ri 1,andika_hendi
ramba vs sambo,luthfi_taj
sambo jiwa nya baik tulus dengan rakyatnya tidak neka neko dlm memimpin rakyatnya insya allah di tangan sambo jawa tengah akan makmur dan sejahtera aamin ya rabbal alamin,luthfi_taj
jateng pilih satu andika perkasa,andika_hendi
bawa bawa nama jokowi dan prabowo pula wkwk,luthfi_taj
biarpun 02 banyak spanduk aku ttp pilih 01,"andika_hendi, luthfi_taj"
saya sekeluarga besar pilih tni bukan polisi,"andika_hendi, luthfi_taj"
yang penting strategi bukan janji,unknown
kita butuh pemimpin yg siap bekerja untuk rakyat jateng yg lebih baik dan perkasa,andika_hendi
pak hendi kerjanya memang benar nyata kecepatan strategi joss,andika_hendi
saya lihat comment yourube condong ke 1  tapi aku lihat realita di lapngan banyak yg condong ke 2  karena memang kampanye buat warga2 tertinggal tidak berdasarkan debat,"andika_hendi, luthfi_taj"
usrek wae to gus,luthfi_taj
"selama calon nya di dukung banteng 
knp pak andika ikut banteng yg banyak bohong nya  banteng saya mikir milih banteng",andika_hendi
pak andika sya mendukung  tlng nnti kalo udah jadi desa sya terpncil jlan saja kecil internet susah tlng di laksanakan ya,andika_hendi
andikaaaa hendi,andika_hendi
penasaran sama isi text book atau kertas catatan dari paslon 02 apa an sih ada yang tau,luthfi_taj
andika hendi di hati,andika_hendi
anak anak sekarang klo di tanya cita2 nya apa jawabnya polisi termasuk anak saya tapi saya arahkan jangan polisi ya kak tentara aja keren,luthfi_taj
semoga pak andika dan pasangan yg memimpin daerah jawa tengah,andika_hendi
kelihatan mana yg gugup dan mana yang smart kalau pemimpin dan wakil yang smart bicara tanpa banyak nyontek,unknown
tetep 01 semangat pak andika,andika_hendi
02 ngomng nya persiden² trs tetep pilih pak andika perkasa,"andika_hendi, luthfi_taj"
kebanyakan janji yg ada zonk mending yang pasti2 saja tenang bukti nyata  pak andika pimpinan tni banyak perubahan dan kesejahteraan baik mengembalikan kepercayaan masyarakat terhadap tni,"andika_hendi, luthfi_taj"
hayo 1 jt an aku andhika,andika_hendi
masyaallah pandika juoooos,andika_hendi
jelas paslon no 1 mendominasi sekali pengetahuan dan strategi kedepan bkn omon janjitok sekelas jendral udah mikirannya langkah strategisnya dalam permasalahan tertentu tinggal tunggu hasinya gmn nanti,andika_hendi
andika   hendi  no 1 yes,andika_hendi
debat calon gubernur dan wakil gugernur jawa tenah,unknown
"kpu jateng kurang kreatif tidak mnyentuh harus untuk mmilih foto foto objek wisata pengunungan dn persawahan 
 pertanyaan kepanjangan membuang waktu nya",unknown
nomor 1 jossssss,andika_hendi
ayo jawa tengah maju bersama jendral andika jangan kasih ruang t polisimengko polisine keta kete,"andika_hendi, luthfi_taj"
jawa tengah maju bersama tni bpk andika yesssss,andika_hendi
jateng perkasa,andika_hendi
no 2 baca baca baca,luthfi_taj
no 2 kebanyakan teks book,luthfi_taj
no1 jos,andika_hendi
jualan agama paling laku ya di jateng,unknown
demi bangsa saya pilih pak lutfi10 th kemarin indonesia dikuasai partai yg bnyak korupsinyaindonesia bisa hancur karena korupsi  narkoba,"andika_hendi, luthfi_taj"
"pekerjaan jika di kerjakan oleh seseorang yang memiliki ilmu dan pengalaman yang sesuai dengan bidang pekerjaan nya akan lebih maksimal hasil kerja nya dibanding di dikerjakan oleh orang yang tidak memiliki ilmu dan tidak berpengalaman di bidangnya 

contoh  seorang nelayan dan tukang kayu disuruh membuat lemari kirakira hasil jadinya lebih bagus mana tentu lemari yang dibuat tukang kayu pasti lebih bagus dibanding dengan lemari yang dibuat oleh nelayan karna tukang kayu mempunyai ilmu dan pengalaman didalam membuat lemari

maka jika semua jabatan di suatu negara di jabat oleh orang memiliki ilmu dan pengalaman di bidang jabatan yang di emban nya maka kemungkinan akan lebih maksimal hasil kerja nya untuk suatu negara tersebut

andai ada salah satu kampus di indonesia mengundang beberapa para guru besar dosen dan pakarpakar terkait untuk bersamasama mengkaji merumuskan dan membuat beberapa mata perkuliahan sebagai bekal ilmu dan pengalaman serta solusi pemecahan masalah untuk beberapa jurusan seperti dibawah ini 


 jurusan ilmu presiden dan wakil presiden 
 jurusan ilmu menteri perekonomian 
 jurusan ilmu menteri keuangan
 jurusan ilmu menteri pendidikan
 jurusan ilmu menteri sosial
 jurusan ilmu menteri kesehatan
 jurusan ilmu menteri pertanian
 jurusan ilmu menteri perdagangan
 jurusan ilmu menteri pupr
 jurusan ilmu menteri kelautan dan perikanan 
 jurusan ilmu menteri bumn
 dan jurusan ilmu menterimenteri terkait lainya
 jurusan ilmu gubernur dan wakil gubernur 
 jurusan ilmu walikota dan wakil walikota 
 jurusan ilmu bupati dan wakil bupati
 jurusan ilmu kepala camat 
 jurusan ilmu kepala kelurahan
 jurusan ilmu mpr
 jurusan ilmu dpr
 dan jurusanjurusan terkait lainya

tujuan dari dibuatnya jurusanjurusan diatas adalah sebagai bekal ilmu pengalaman wawasan cara menangani masalah serta syarat bagi calon pejabat 

contoh  calon walikotawakilnya harus lulus kuliah dari jurusan ilmu walikotawakil walikota agar nantinya ketika terpilih menjadi walikotawakil sudah mempunyai bekal ilmu dan pengalaman untuk memimpin mengelola menangani beragam permasalahan didalam suatu kota","andika_hendi, luthfi_taj"
02 grusak grusuk gk tenangpak andika hendi lebih tenang,"andika_hendi, luthfi_taj"
pak andika yes,andika_hendi
"ijo ngayomi
coklat wereng
rambo vs sambo
mulyono mahkamah keluarga
fufu fafa susu bendera","andika_hendi, luthfi_taj"
dari suara rakyat jelata pak andika ini klihatan nampak lebih aref orang nyainsyaallah klaw jadi gubernur jateng pasti adil dan makmur juga merakyat,andika_hendi
tni bersama rakyat,andika_hendi
"ngopeni  nglakoni
ngopeni sapi
ngopeni wedus 
ngopeni kucing
ngopeni kirik
ngopeni pitik",unknown
yg suka pungli rakyat jawa tengah tahu,unknown
tni for rakyat,andika_hendi
no 2 terlalu banyak janji,luthfi_taj
baguslah klo gus ingin memperbaiki moral dan akhlak para bawahannyajgn seperti fufufafa yg viral sekarang,luthfi_taj
jangan percaya dg janji janji ala muliyono,unknown
semangat no 1 mantap pak andika,andika_hendi
yg nmr 2 anggotanya mulyono yg suka ngibul dari gorong2,luthfi_taj
mantan panglima tni tdk diragukan lagi kemapuannya sbg pemimpinpak andika,andika_hendi
love u andika hendi banyumas 01,andika_hendi
anak saya lahir 2018 saya tambahin nama prakasa ditengahnya terinspirasi dari bpk andika perkasa sehat selalu pak semoga menjadi jateng 1 siap coblos no 1,"andika_hendi, luthfi_taj"
"60  1
30  2
10  masih bingung","andika_hendi, luthfi_taj"
ak ykin kyknya pak andika jdi gubernur jatengamin,andika_hendi
bintang 4 vs binatang 3,andika_hendi
mudah pa andika jd gubenur,andika_hendi
sebaiknya dlm debat ketika lawan debat bertanyamenanggapi pasangan yang lain memperhatikan apa yang disampaikan tdk sibuk ngolakalik bendelancatatan indikator tdk menguasai konteks kecuali terkait data angka² redaksi peraturan,unknown
"kata paslon no 2 pemimpin tidak harus hebat tapi bermanfaat
pemimpine ora hebat yo rakyate kocar kacir to kalau ada yang hebat dan bermanfaat kenapa tidak 
bersama rakyat tni kuat jateng perkasa","andika_hendi, luthfi_taj"
lutfi ngopeni pitik ae bos seragam coklat seragame sambo,luthfi_taj
pilih rambo apa sambo,"andika_hendi, luthfi_taj"
pak lutfi dan p taj yasin,luthfi_taj
paslon 02 ngopeni nglakoni sungguh luar biasa beliau memberi teladan untuk rakyat pemimpin yg berakhlaq mulia akan membawa rakyat semakin hidup bahagia,luthfi_taj
jateng perkasa,andika_hendi
"11 komitmen paslon 2
1 subsidi pangan murah
2 kesehatan gratis
3 sekolah gratis
4 ngopeni pesantren
5 ngopeni umkm
6 ngopeni nelayan  petani
7 ngopeni pekerja
8 ngopeni desa
9 ngopeni anak muda
10 ngopeni bumi
11 ngopeni dengan hati","andika_hendi, luthfi_taj"
bismillah semoga bapak jenderal tni purnawirawan andika perkasa jadi gubernur jatengwarga semarang mendukung mu pak andika dan pak hendi good luck,andika_hendi
saya percaya tni,andika_hendi
kiro tujuane taj yasin opo yo kabeh dicaloni,luthfi_taj
tni yang lebih mengayomipak andika semoga terpilih jadi gubernur,andika_hendi
"jelas pak jendral andika
purbalingga pilih andika utk jateng perkasa",andika_hendi
udah jelas tni lebih merakyat   jateng siap menangkan bpkandikahendi hormat kami pak rambo,andika_hendi
insya allah andika perkasa  hendi menang,andika_hendi
menyala jendral andika,andika_hendi
misal paslon2 menang pak ahmad luthfi punya hak untuk ganti wakilnya gak si  diganti pak hendi cawagub 1 aja cocok keknya,"andika_hendi, luthfi_taj"
"all in andika  hendi 
01  jawa tengah perkasa lebih hebat menuu indonesia emas",andika_hendi
tegal rambo,andika_hendi
tni bersama rakyat,andika_hendi
bravo tni,andika_hendi
pps desa selanegara,unknown
pps desa selanegara,unknown
pps desa selanegara,unknown
no urot 1 terlalu di setir di arahkan ibuknya karena ibuknya dak bisa menerima masukan dari anggotanya idenya haros dadri ketumnya dak bisa di ganggugugat oleh masukan yang lain,andika_hendi
kami suka sama pak andika tapi saya pilih pak lutfi kenapa karena pasti dari pusat ke propinsi lebih mendukung yang pemerintahannya singkron dan cocok sampe kabupaten,"andika_hendi, luthfi_taj"
komentar kalo di belakang enak ya tinggal jiplak dan melengkapi,unknown
udah lama ikut pdi jateng dak maju2,"andika_hendi, luthfi_taj"
saya dari wonogiri tmbh yakin memilih 01,andika_hendi
dilema disatu sisi suka pak andika tapi ngga suka sama bu mega,andika_hendi
"masa jateng pilih polisi
tni donk brooo","andika_hendi, luthfi_taj"
salam untuk pendukung gus yasin,luthfi_taj
"tni adalah kita
andikahendi terbaik 
dr jakarta kita doakan 01 menang di jateng",andika_hendi
"kalau minuman yang ada badak nya
kalau partai yang tidak ada banteng nya",andika_hendi
"panglima tni  walikota semarang yang sukses  

andika hendi mumpuni rendah hati apa adanya tidak nyontek dan tidak menjatuhkan kandidat lain",andika_hendi
bismilah 01,andika_hendi
aku batang aku dukung andika  hendi los ra rewel,andika_hendi
pendukung biru muka cina smua 01 jowo,andika_hendi
please jangan bawa bawa tni dan polisi tidak baik karena mereka harus netral juka ingin beranalogi gunakan banteng vs garuda itu sudah jelas siapa calonnya,"andika_hendi, luthfi_taj"
di mana2 kok gk ada yg milih si lutfi kim  mana ini katanya kuat,luthfi_taj
"peringatan bapak ibu hati hati dengan serangan fajar dari bpk mulyono ingat habis pilpres kemarin beras naik dan hutang negara 1000 triliun hanya dlm waktu 2 bulan januari sampe februari  semua dilakukan demi wowo dan anaknya duduk di istana
dan hanya bisa lihat mereka ketawa ketiwi saat wajib militer jangan sampe di jateng mengalami hal yg sama","andika_hendi, luthfi_taj"
"pak andika terlihat tenang dan  mampu menuangkan pemikirannyabdalamnsetiap jawabanpak lutfi berapi api tapi sering salah menjawab pertanyaan panelisterlihat pak lutfi punya kebiasaan menghapal ngga fokus pada apa yg ditanyakan

misalkan pertanyaan apa yg dilakukan di dalam koordinasi kerjasama antara perintah pusat pemprov pemkab dan pengusaha dalam menjalankan pembangunan malah jawabannya keluar jalur semua","andika_hendi, luthfi_taj"
"lawan yg gk seimbangdr publik speaking aj udh beda level
pak andika mmg top",andika_hendi
grobogan pak andika,andika_hendi
no2 sibuk buka contekan  saya dari bali doakan semoga pak andika dan pak hendi menang pilgub jateng 2024,"andika_hendi, luthfi_taj"
fokus gus yasin pas memaparkan visi misi msok agama muslim,luthfi_taj
lihat lah yasin ngak punya adap ngomong sendiri di saat pak andika ngomong,"andika_hendi, luthfi_taj"
2,luthfi_taj
klasikjanji janji klasik,unknown
saya orang jawa timur jujur lebih pilih  jateng  perkasa,andika_hendi
selama preman preman masih adatak ada gunanya uu,unknown
"ah polisi 
maaf sudah sangat tercemar",luthfi_taj
untuk kalian semua ini 11051 langsung gas menuju to the point debat di mulai,andika_hendi
"bantu jawab desa tembarak di mana 

dari tadi cari di maps ketemunya di temanggung kan temanggung bukan ujung timur jawa tengah 

please tulisin nama desanya yang benar apa",unknown
kesini gara2 nyari visi buat jwb tugas pp,luthfi_taj
semoga 02 menang,luthfi_taj
02 japlakane akh men hhhh,luthfi_taj
gus pungling paling banyak itu dimana guuuuuus,luthfi_taj
jual nama orang lain kami tak ingin di pimpin orang seperti itu andika jaya,andika_hendi
no1 gas trus,andika_hendi
saya warga karawang mendukung penuh pak andika perkasa hedrar prihadi jateng 1,andika_hendi
bismillah andika hendi 01  bijak berbicaranya tidak ambisius keren semoga amanah nggih bapak,andika_hendi
saya dari purbalingga kaligondang   tetep ndukung lutfi yasin mg² qobbul,luthfi_taj
jawa tengah butuh nasionalis relugius  gus yasin perwakilan santri,luthfi_taj
orang cenderung pilih bukan dari mana partainya tapi darimana dia berasal,unknown
"pilih gubernur yg memikirkan rakyat n tidak numpang hidup dr jabatannya 

gunduli_pdip
yo_dho_ndholor",andika_hendi
"jangan percaya mantan polisi
karena mereka hnya menyusahkan rakyat",luthfi_taj
ngopeni lha po kewanalus sitik ganti ngrumat kudunejargone wae kasar po neh meh dadi pemimpingasss pak andika,andika_hendi
ayo temen2 menangin 01 soalnya tempatku benteng 02,"andika_hendi, luthfi_taj"
seperti saya memilih pak prabowo sebagai presiden saya pilih tni jg yg jadi gubernur jateng,"andika_hendi, luthfi_taj"
gaya kepemimpinan bpk purn tni andika perkasa emang beda santai tegas action,andika_hendi
tampang rambo kelihatan ketidak ikhlasannya,andika_hendi
saya cek pati jawatengah juga banyak yg  pak andika80,andika_hendi
tetep pilih no 1 perkasa,andika_hendi
mas yasin nyalon kok trusmbokyo di nikmati dulu brapa tahun gitu lo mas yasinsperti lagi gila jabatan,luthfi_taj
moderator harusnya bilang angka 5 kan bukan huruf 5,unknown
jateng perkasa,andika_hendi
02 ngopeni pungli dan tilang,luthfi_taj
"02 omongannya lemees ambisinya kuat
stay cool pak andika perkasa","andika_hendi, luthfi_taj"
no 1,andika_hendi
1,andika_hendi
pilihan terbaik gus yasin,luthfi_taj
gus yasin terpercayalanjutken,luthfi_taj
kok bisa no 2 kami dgn pak hendi,"andika_hendi, luthfi_taj"
no 2 terlalau banyak membawa presiden no 1 tetep yes,"andika_hendi, luthfi_taj"
klaten total untuk pak andika dan hendi,andika_hendi
02 kakehan umbar janji ngopeni apanengopeni mafia yo wk,luthfi_taj
pilih figur bukan partainya untuk jateng makin maju jangan salah pilih kawan sesuai hati nurani,luthfi_taj
1,andika_hendi
satu kk satu rumah janji yo gampang giliran dadi ditage yo muter muter koyo ntut nang sarung jaji rasa muluk muluk isine 0,andika_hendi
pak andika  hendi,andika_hendi
1,andika_hendi
pak andika cerdas  memahami lapangan  dari cara berbicara tanpa teks  beliau  salah satu putra  terbaik bangsa,andika_hendi
kalo 01 terpilih dan 2029 nyapres ataupun nyawapres puji tuhan kami dukung,"andika_hendi, luthfi_taj"
tetap pak andika juara,andika_hendi
cilacap tetap n 1 andika hindi gas pol,andika_hendi
apakah ada aplikasi dari pemerintah yg bener bener berguna kayanya ide aplikasi agak kureng wlpn itu all in one mending webhotline ga menuh menuhi memori hp kentang,unknown
pada ngeh gasih logat  cara bicara nya gus yasin sama bgt kaya pak ganjar wkwk,luthfi_taj
tetap tni pilahan warga jateng,andika_hendi
namanya polisi citranya minta dekengane penguasa mentallll bosku masyarakat cinta tni,"andika_hendi, luthfi_taj"
seneng banget pak 02 ngumbar janji manis,luthfi_taj
makin mantap pilih jenderal tni,andika_hendi
malah bgt klo milih oknum pemeras,unknown
oo indah sekaliduduk dipinggir pantai sambil kukenangkan kisah si baju loreng yg lorenglah,andika_hendi
tanpa mou koroptor mati di tangan rakyat saya tak akan pernah percaya politikus,unknown
rakyat tak butuh retorikanamun aksimembunuh koroptor dengan mengarak koroptor dan siapapun bisa menusuk dan mematahkan kepalanyaadalah titik menuju negara berkeadilan,unknown
kapan di sahkan membunuh koroptor di tangan rakyat langsung,unknown
dewe yo wani los jendral,unknown
nonton debat sama temen temen saya malu banget dukungan saya disorakin calon gubenur sama wakil nya lupa apalagi sama rakyat ciloko jateng,unknown
saya org smg tinggal di timika pengen pak andika yg jd gubernur,andika_hendi
pokoke aku emoh karo ladusingtitik,unknown
untuk pak andika saya orang bali tapi terima doa dan salam saya semoga bapak terpilih 1 periode selanjutnya ri 1,andika_hendi
gas poll 02,luthfi_taj
pati satu suara buat pak lutfi gus yassin,"andika_hendi, luthfi_taj"
ya allah merinding gw semuanya milih 01 bismillah ya allah mnt ridhomu 01 menang,andika_hendi
bissmillah 02 menang,luthfi_taj
jawa tengah pilih 02 pak lutfi insyallah menang,luthfi_taj
"bukan masalah tni atau polisi
karena mereka sudah menjadi petugas partai

01 pdip  megawati 
02 gerindra  prabowo","andika_hendi, luthfi_taj"
tni yes,andika_hendi
tetep dukung lutfi,luthfi_taj
pemalang andikaa,andika_hendi
alhamdulillah rk cerdas dan pintar semoga dki jakarta lebih maju lagi,unknown
nomer 2 kepekane komplit,luthfi_taj
tetep pak andika perkasa,andika_hendi
jateng yang religius lanjtkan gus,luthfi_taj
andika,andika_hendi
jateng perkasa bersama andikahendi,andika_hendi
"rakyat jangan mau di pecah semua pembenci pdip akan mematikan akal mu untuk membenci pdip padahal mereka lebih buruk bobrok jaman sekarang jangan lihat partai nya tetapi orang nya 
dari sini kita lihat bahwa jendral andika dan hendi lebih jelas dan pengalaman 

jangan pilih polisi cukup jawa tengah jadi sarang nya sambo dulu 

sekarang saatnya tni tni tni","andika_hendi, luthfi_taj"
pak andhikalanjutkan,andika_hendi
pak andhikalanjutkan,andika_hendi
semarang all in tni   andika hendi,andika_hendi
pilih tni jangan polisi,"andika_hendi, luthfi_taj"
gosah bawa bawa nabi,unknown
inget disabilitaswaktu pak andika jabat kasaddan ada pula yg kuli bangunan di arahkan agar mau daftar jadi anggota tni,andika_hendi
jawaban ahmad lutfi tidak realistis jawaban yang menghayal,luthfi_taj
dari smua komen di komen kpu jateng hampir 2rb komentar 90 mendukung paslon andika hendi dan mungkin hnya 8 yg mendukung lutfi yasin,"andika_hendi, luthfi_taj"
kita butuh tni bukan pak polisi bersama rakyat kita kuat bukan mengayomi namun zolimi,"andika_hendi, luthfi_taj"
awas loh 02 akan mengeluarkan sang raja mulyono utk membantu kampanyenyaapakah pendukung 01 sudah siap dan tidak goyah utk tetap pilih andika hendi 01,"andika_hendi, luthfi_taj"
klo penjelasan sudah diakhiri gosah ditawarkan lagi barang dibuang kok ditawarkan lagi,unknown
warga jateng pilih santri seng berpeci,unknown
gus wagub harusnya jadi cagub,luthfi_taj
konsep ngopeni lan nglakoni terlalu lemot ora sat set karo perkembangan modern,unknown
pak andika  hendi lebih amanah,andika_hendi
pak andika pak hendi,andika_hendi
pekalongan nomor satu,andika_hendi
"sukses untuk pilkada jateng  tanpa politik uang
pemerintah yang terpilih tanpa politik uang
semoga membawa jawa tengah makin maju",unknown
baru mulai  no 2 debat dah bawa bawa nama jokowi,luthfi_taj
"tidak ada tni maupun polisi yang berpolitik hak pilih mereka gugur dalam pemilu
setelah pensiun mereka menjadi rakyat biasa bukan lagi dalam kesatuan tni maupun polisi
jadi mohon bisa dimengerti ya wahai rakyat jawa tengah jangan sampai kita diadu domba dengan provokator tni vs polisi karena dibalik calon gubernur maupun wakil ada partai politik","andika_hendi, luthfi_taj"
izin tanya kenapa perpanjang sim tambah mahal,unknown
jangan pilih yang suka bilang yntkts,unknown
luthfi nyontek teruss wakakakakak,luthfi_taj
jangan pilih oknum polisiduit duit duit mulu,luthfi_taj
emangnya di jateng itu sekolah cuma madrasah yarasah nyebut nama presiden guna mendompleng suara tunjukan aja apa yg jadi visi misi sampean di jateng ben rakyat jateng yg memilih,unknown
polisi tapi santri luuurr lewih² wakilie ulama besar alumni mekkah pokokoke jos gandoss mantapp,luthfi_taj
1kk 1rumah layak huni prett,andika_hendi
sangar banget pak wajahnya takutttt,unknown
jelas pilih nomor 01 dong pak andika rakyat untuk rakyat,andika_hendi
"11104 penyampaian visi dan misi paslon 01
11505 penyampaian visi dan misi paslon 02
13009 paslon 02  jika terpilih apa yg akan dilakukan untuk membangun kemitraan dgn penerintah pusat dan kabupaten kota dan sektor private untuk mewujudkan tujuan sdgs 2030
13214 jawaban dari paslon 02
1 satu kk satu rumah layak huni 2 ubah air asin jadi air tawar 3 pemenuhan sanitasi dasar 4 makan bergizi gratis 5 openi dan nglakoni
13343 tanggapan dari paslon 01  sesuai dgn pertanyaan jgn lupakan partnership bahkan dgn perangkat desa sekalipun dan jg sektor private dan tokohtokoh
13543 respon dr paslon 02  kita akan melakukan kolaborasi yg terintegrasi dgn pusat dll
13743 pertanyaan untuk paslon 01 
banyak masalah publik yg belum optimal jika terpilih langkah apa untuk mengatasi permasalahan tersebut
13906 jawaban dari paslon 01
1 meningkatkan intergritas kpk dan birokrasi
2 perbaikan efisiensi pelayanan publik secepat mungkin
3 reward untuk pelayan publik yg jujur dan sebaliknya
14214 tanggapan dari paslon 02 
ciptakan rumah gubernur sbg rumah rakyat mall pelayanan publik di bakorwil akses aplikasi
14425 respon paslon 01
nemastikan praktik pelaksanaan di tiap level dengan sistem reward dan punishment pada pelayan publik","andika_hendi, luthfi_taj"
"ah polisi
maaf sudah sangat tercemar",luthfi_taj
"cerdas semuanya 
tergantung dari masyarakat jateng aja ni",unknown
mung butuh pemimpin seng iso ndagel nanging iso kerjo jateng seneng hiburan karo kerjo,unknown
debat jebak desa tertinggal di jawatengah bagian timurdesa nya perlu perhatian kusus cuman mau nanya sama pak lutfikenap anda tanya sama pak andika seharusnya anda tanya sama samping sampean 4thun jadil wakil kemana aja wkwkwwkwkwk mau menjebak tapi malah wakilnya kena tampol wkwkwkwwk,"andika_hendi, luthfi_taj"
kadang kurang paham sama netizen yang hanya melihat dari cara menjawab seseorang overall in my opinion kesiapan paslon 2 lebih unggul dibandingkan paslon 1 hal tersebut bisa dikatakan paslon 2 lebih matang daripada paslon 1 dari setiap pertanyaan yang dijawab oleh para paslon paslon 2 mampu membuktikan punya dasar jawaban yang lebih bagus dibandingkan paslon 1 di lain sisi paslon 1 mampu memberikan jawaban yang cukup normatif mungkin dari segi kesiapan paslon 1 bisa menjadi evaluasi kedepannya,"andika_hendi, luthfi_taj"
secara nggak langsung gus yasin membenarkan klo pak ganjar kerja nyata di jatengtapi kok pas nyalon presiden tdk didukung,luthfi_taj
manut guse mantaappplanjutkan pak gus yg alim,luthfi_taj
pak hendi lebih pengalaman di birokrasi drpd gus yasin,"andika_hendi, luthfi_taj"
coba deh kalian simak dari awal full debat semua omongan paslon 2  janji nya banyak bgt kaga cagub nya kaga cawagub nya  yang kaya gini nih biasanya yang udah udah ketika terpilih   ujung nya bakal gak beres jateng liat ajh ketika terpilih jangan kan inget sama rakyat  inget sama wakil nya ajh nomer 2 pake salah ngomong hahhah,luthfi_taj
purbalingga 01,andika_hendi
02 memang josss,luthfi_taj
hidup tpp,unknown
02 lu ngapain aja udah menjabat berpuluih puluh tahun di jateng,luthfi_taj
saya kabsemarang tetep pilih perkasameski saya no merah,andika_hendi
"jatim  

karena pemimpinya dari kandang ngibul 

loh kok fakta",unknown
"ah sudahlah

 
 kok bisa jawa tengah termiskin dari jabar jatim  

karena pemimpinya dari kandang ngibul 

loh kok fakta",unknown
02 dari dulu janji janji tok aku orang awam jawa tengah masih tetap percaya sama tni biasanya lebih merakyat,"andika_hendi, luthfi_taj"
dari debat ini saya dapat menyimpulkan no 2 lebih ngumbar janji no 1 lebih mikir strategi,"andika_hendi, luthfi_taj"
ngopeni ngalokoni preeet,unknown
jateng perkasa,andika_hendi
era banteng d jateng jadi yg termiskin eronis tp fakta,andika_hendi
pilih pak andika werkudorone jawa tengah,andika_hendi
janji mu cuma pas kampanye tok fi luthfi telek lah,luthfi_taj
mensos yg milih lutfi cuma orang  10  yg milih pk jendral andika perkasa hendi  80,"andika_hendi, luthfi_taj"
lutfi ngopeni sabu bukan ngopeni  masyarakat te  buang sambo  pilih rambo,"andika_hendi, luthfi_taj"
tak pilih sg pernah meng desaku we 01 in syaa allah saged,andika_hendi
tni cukup pak prabowo petugas partai minggir saja,"andika_hendi, luthfi_taj"
pa andika sama mas hendi kaya anak kembar muka mirip sih,andika_hendi
